0.3450 	 2.8746 	 4.0736 	 1.1620 	 5.0055 	 2.0329 	 0.0000 	 2.8256 	 758.1896 	 1.2854 	 4.0342 	 6.5529 	 1.2787 	 1.7952 	 2.4533 	 0.0000 	 1.1151 	 0.0001 
1.7953 	 2.6419 	 5.0712 	 1.5500 	 4.4043 	 2.3316 	 0.0000 	 2.9500 	 756.7452 	 1.8218 	 2.8944 	 5.2604 	 9.4068 	 0.4328 	 -2.9236 	 0.0000 	 2.3857 	 0.0002 
2.4233 	 2.9400 	 2.9277 	 9.9876 	 2.7603 	 2.7035 	 0.0000 	 3.3442 	 758.2462 	 1.3382 	 3.3306 	 5.0491 	 2.5976 	 0.9417 	 2.7189 	 0.0000 	 2.6175 	 0.0207 
0.3025 	 3.4463 	 9.5532 	 9.1314 	 2.4117 	 3.3018 	 0.0000 	 3.3161 	 766.2253 	 0.7355 	 1.1280 	 1.0094 	 0.0507 	 0.7179 	 -0.7972 	 0.0000 	 1.0800 	 0.0001 
1.2308 	 2.2588 	 4.0293 	 9.7883 	 3.3094 	 3.0084 	 0.0000 	 3.3663 	 759.0909 	 0.6318 	 3.8572 	 1.8519 	 8.3652 	 0.5360 	 -0.5204 	 0.0000 	 0.1764 	 0.0054 
0.1232 	 2.9772 	 1.2686 	 3.7856 	 3.8254 	 1.7642 	 0.0000 	 2.9202 	 754.6376 	 0.3308 	 4.0586 	 6.4452 	 1.8700 	 1.4254 	 -2.7237 	 0.0000 	 0.3375 	 0.0030 
0.8945 	 2.2919 	 1.6463 	 7.7418 	 3.9249 	 2.3776 	 0.0000 	 2.8717 	 748.6153 	 1.2439 	 2.3604 	 0.4720 	 9.1762 	 0.7645 	 1.0206 	 0.0000 	 2.8197 	 0.0001 
1.1428 	 3.0922 	 0.0073 	 6.1520 	 6.7538 	 -3.4255 	 0.0000 	 3.3374 	 771.0966 	 1.0275 	 1.1665 	 6.5843 	 5.2215 	 2.0638 	 -1.5003 	 0.0000 	 1.1398 	 0.0001 
0.0000 	 2.4972 	 0.2620 	 5.0735 	 4.8482 	 -1.4740 	 0.0000 	 3.3411 	 775.3584 	 0.8809 	 3.6260 	 3.6485 	 5.3948 	 1.3835 	 1.0470 	 0.0000 	 0.3928 	 0.0088 
0.0000 	 3.3781 	 5.0218 	 5.8070 	 4.0190 	 2.5302 	 0.0000 	 3.2994 	 757.5470 	 0.9554 	 4.5456 	 5.7848 	 9.5282 	 0.2933 	 -1.1344 	 0.0000 	 0.7049 	 0.0064 
0.1828 	 1.1990 	 5.8969 	 4.7516 	 3.7922 	 2.2687 	 1.5671 	 1.1937 	 756.4596 	 0.6187 	 1.3931 	 1.6912 	 6.4951 	 0.1720 	 0.8548 	 -2.5236 	 -11.1888 	 0.0096 
0.2034 	 0.8415 	 7.2145 	 5.2291 	 0.5813 	 3.3513 	 0.3102 	 1.1918 	 769.8186 	 1.6229 	 0.0168 	 3.1618 	 4.7811 	 2.3055 	 0.0849 	 1.8218 	 -3.1878 	 0.0001 
0.0058 	 0.7472 	 3.0375 	 1.8216 	 5.1656 	 0.4387 	 1.5563 	 -12.7302 	 1272.0923 	 0.2698 	 -0.7444 	 5.9101 	 6.6213 	 2.3261 	 -1.7679 	 -0.9835 	 -6.0810 	 0.0047 
0.0154 	 1.1780 	 0.0161 	 7.3625 	 1.9010 	 1.2970 	 -4.2469 	 1.3357 	 766.3988 	 0.1231 	 -1.1336 	 3.5087 	 1.7520 	 0.4442 	 -1.4570 	 -0.7152 	 -12.1303 	 0.0118 
0.1640 	 0.5907 	 0.0385 	 8.5067 	 3.4821 	 -0.7449 	 -1.5817 	 1.3021 	 775.8335 	 0.7561 	 -3.4581 	 5.1453 	 2.1517 	 0.6717 	 2.7590 	 0.9637 	 -8.6181 	 0.0000 
0.7387 	 1.3125 	 9.6447 	 6.0790 	 3.6897 	 2.6944 	 -4.3102 	 1.1262 	 772.5171 	 1.4834 	 1.5717 	 6.8551 	 7.6388 	 1.0555 	 -0.1729 	 -2.1962 	 -5.1471 	 0.0134 
0.0017 	 1.9125 	 1.6686 	 5.2382 	 2.9411 	 0.8339 	 0.4072 	 1.2664 	 785.5071 	 1.0236 	 1.2985 	 3.9085 	 3.7226 	 2.6005 	 1.5641 	 0.0909 	 -2.0651 	 0.0001 
0.1118 	 0.9960 	 2.4840 	 5.2032 	 2.1555 	 2.3262 	 0.7948 	 1.1950 	 760.8862 	 0.7448 	 -2.3114 	 7.4550 	 4.6179 	 1.9356 	 0.2459 	 -2.0303 	 -11.3903 	 0.0033 
0.5811 	 0.8496 	 5.2713 	 8.9168 	 4.9012 	 2.5747 	 2.4254 	 1.3395 	 755.4434 	 1.8177 	 -1.0259 	 5.4162 	 0.5932 	 2.5601 	 2.8332 	 -2.3182 	 -0.8763 	 0.0001 
0.0601 	 0.9935 	 1.3035 	 9.8802 	 1.3258 	 1.8997 	 -13.9764 	 1.0977 	 770.8802 	 0.3738 	 -5.5510 	 9.2638 	 2.3364 	 1.5290 	 0.0637 	 -1.3734 	 -12.9799 	 0.0028 
