1.4227 	 0.0022 	 3.7121 	 4.3301 	 2.5011 	 0.5491 	 -1606.3413 	 0.5524 	 4.5065 	 7.7430 	 1.1982 	 2.7853 	 1.9874 	 0.0030 
0.4818 	 1.7589 	 0.7447 	 6.4850 	 -0.5546 	 0.7795 	 1789.8901 	 0.4806 	 1.5223 	 0.6830 	 1.6497 	 -0.0140 	 0.7288 	 0.0001 
0.3534 	 1.5990 	 7.8034 	 3.7802 	 0.3849 	 6.7157 	 1789.5179 	 1.7047 	 3.5774 	 4.9044 	 4.4521 	 1.7678 	 2.1540 	 0.0001 
0.7884 	 2.0004 	 2.5844 	 5.0087 	 0.0890 	 0.1010 	 1790.9944 	 0.7396 	 3.1670 	 8.2481 	 5.3761 	 2.9970 	 0.6089 	 0.0002 
0.4919 	 1.8873 	 1.7919 	 7.2783 	 5.4475 	 0.8823 	 1790.1490 	 1.5681 	 3.5844 	 5.0181 	 5.8142 	 -0.8576 	 0.2251 	 0.0001 
0.5618 	 1.6342 	 1.2768 	 9.3553 	 -3.1356 	 2.8859 	 1791.0091 	 0.9859 	 4.1440 	 9.1282 	 1.0947 	 -1.0977 	 1.2464 	 0.0000 
0.4984 	 1.8974 	 2.8766 	 5.0110 	 -3.3898 	 3.8539 	 1790.0325 	 0.4001 	 0.1833 	 4.6219 	 0.8070 	 -0.5779 	 1.3050 	 0.0001 
0.0203 	 0.0013 	 4.2224 	 0.9521 	 5.8257 	 0.9862 	 1796.1728 	 0.1897 	 3.1369 	 5.6123 	 8.4272 	 -2.7325 	 1.8240 	 0.0000 
0.0000 	 1.9661 	 1.4542 	 1.9512 	 0.4284 	 2.6475 	 1789.7864 	 1.0172 	 1.9083 	 1.1389 	 2.2050 	 2.1464 	 1.7983 	 0.0001 
0.3687 	 2.0167 	 7.4499 	 4.3831 	 -2.1554 	 1.2136 	 1790.1206 	 0.3191 	 1.8860 	 4.6348 	 3.9330 	 -1.4396 	 0.6345 	 0.0000 
