50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 36 	 35 	 33 	 32 	 30 	 29 	 26 	 25 	 22 	 20 	 17 	 14 	 12 	 10 	 8 	 4 	 2 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 36 	 35 	 33 	 32 	 30 	 29 	 26 	 25 	 22 	 19 	 17 	 15 	 11 	 11 	 7 	 6 	 1 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 36 	 35 	 33 	 32 	 30 	 29 	 26 	 25 	 22 	 19 	 17 	 15 	 11 	 11 	 7 	 6 	 1 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 36 	 35 	 33 	 32 	 30 	 29 	 26 	 25 	 22 	 19 	 17 	 15 	 11 	 11 	 7 	 6 	 1 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 36 	 35 	 33 	 32 	 30 	 29 	 26 	 25 	 22 	 19 	 17 	 15 	 11 	 10 	 8 	 5 	 4
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 34 	 31 	 31 	 28 	 27 	 25 	 21 	 21 	 17 	 13 	 13 	 10 	 7 	 5 	 3
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 34 	 31 	 31 	 28 	 27 	 25 	 21 	 21 	 17 	 13 	 13 	 10 	 7 	 5 	 3
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 34 	 31 	 31 	 28 	 27 	 24 	 23 	 18 	 18 	 14 	 13 	 9 	 8 	 4 	 4
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 34 	 31 	 31 	 28 	 27 	 24 	 23 	 18 	 18 	 14 	 13 	 8 	 8 	 6 	 2
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 34 	 31 	 30 	 29 	 27 	 24 	 22 	 20 	 17 	 14 	 13 	 10 	 7 	 4 	 4
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 35 	 33 	 32 	 30 	 28 	 28 	 23 	 23 	 19 	 17 	 14 	 13 	 10 	 6 	 6 	 2
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 35 	 33 	 32 	 30 	 28 	 28 	 23 	 23 	 19 	 17 	 14 	 13 	 9 	 8 	 4 	 4
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 35 	 33 	 32 	 30 	 28 	 27 	 25 	 21 	 21 	 16 	 16 	 11 	 10 	 8 	 4 	 3
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 35 	 33 	 32 	 30 	 28 	 27 	 25 	 21 	 21 	 16 	 15 	 13 	 8 	 8 	 5 	 3
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 35 	 33 	 32 	 29 	 29 	 27 	 25 	 21 	 21 	 16 	 15 	 12 	 10 	 8 	 4 	 2 	 1
