50 	 48 	 47 	 45 	 44 	 42 	 40 	 38 	 35 	 34 	 30 	 26 	 25 	 20 	 18 	 16 	 12 	 11 	 6 	 4 	 2
50 	 48 	 47 	 45 	 44 	 42 	 40 	 38 	 35 	 34 	 30 	 26 	 25 	 19 	 19 	 16 	 13 	 8 	 8 	 4 	 2
50 	 48 	 47 	 45 	 44 	 42 	 39 	 39 	 35 	 34 	 30 	 25 	 25 	 21 	 18 	 15 	 13 	 10 	 7 	 4 	 1
50 	 48 	 47 	 45 	 44 	 41 	 41 	 37 	 37 	 32 	 30 	 28 	 22 	 22 	 18 	 15 	 13 	 10 	 7 	 4 	 1
50 	 48 	 47 	 45 	 44 	 41 	 41 	 37 	 37 	 32 	 30 	 27 	 24 	 21 	 18 	 15 	 13 	 10 	 7 	 4 	 1
50 	 48 	 47 	 45 	 44 	 41 	 41 	 37 	 36 	 34 	 30 	 25 	 25 	 21 	 18 	 15 	 13 	 10 	 7 	 4 	 1
50 	 48 	 47 	 45 	 44 	 41 	 41 	 37 	 36 	 34 	 29 	 28 	 24 	 21 	 17 	 17 	 11 	 11 	 7 	 3 	 3
50 	 48 	 47 	 45 	 44 	 41 	 41 	 37 	 36 	 34 	 29 	 28 	 23 	 22 	 17 	 17 	 11 	 11 	 6 	 5 	 1
50 	 48 	 47 	 45 	 43 	 43 	 39 	 39 	 35 	 34 	 28 	 28 	 25 	 21 	 17 	 16 	 13 	 9 	 8 	 3 	 2
50 	 48 	 47 	 44 	 44 	 42 	 40 	 38 	 36 	 34 	 28 	 28 	 25 	 20 	 19 	 14 	 14 	 8 	 8 	 5 	 1
49 	 49 	 46 	 46 	 43 	 43 	 39 	 39 	 35 	 32 	 32 	 25 	 25 	 21 	 17 	 17 	 12 	 10 	 7 	 4 	 1 	 1
49 	 49 	 46 	 46 	 43 	 43 	 39 	 39 	 35 	 32 	 31 	 28 	 23 	 22 	 17 	 16 	 13 	 8 	 8 	 4 	 2
49 	 49 	 46 	 46 	 43 	 42 	 40 	 39 	 35 	 32 	 31 	 28 	 23 	 21 	 19 	 14 	 14 	 10 	 6 	 5 	 1
49 	 49 	 46 	 46 	 43 	 42 	 40 	 39 	 35 	 32 	 31 	 28 	 23 	 21 	 19 	 14 	 14 	 9 	 8 	 3 	 3
49 	 49 	 46 	 46 	 43 	 42 	 40 	 38 	 37 	 32 	 31 	 27 	 22 	 22 	 19 	 14 	 13 	 11 	 6 	 4 	 2
