50 	 49 	 46 	 46 	 43 	 43 	 41 	 39 	 39 	 36 	 35 	 34 	 31 	 31 	 30 	 27 	 27 	 25 	 23 	 22 	 20 	 19 	 18 	 16 	 14 	 13 	 12 	 10 	 8 	 8 	 6 	 4 	 2 	 2
50 	 49 	 46 	 46 	 43 	 43 	 41 	 39 	 39 	 36 	 35 	 33 	 33 	 31 	 29 	 28 	 26 	 25 	 23 	 22 	 20 	 20 	 17 	 16 	 15 	 12 	 12 	 10 	 10 	 7 	 5 	 4 	 4 	 1
50 	 48 	 47 	 45 	 45 	 42 	 40 	 40 	 38 	 37 	 35 	 33 	 33 	 30 	 30 	 27 	 27 	 25 	 23 	 22 	 20 	 19 	 18 	 15 	 15 	 14 	 11 	 10 	 9 	 7 	 6 	 4 	 3 	 1 	 1
50 	 48 	 47 	 45 	 44 	 43 	 41 	 39 	 38 	 37 	 35 	 33 	 33 	 30 	 30 	 27 	 27 	 24 	 23 	 23 	 20 	 18 	 18 	 16 	 15 	 13 	 12 	 10 	 8 	 8 	 5 	 5 	 3 	 1
50 	 48 	 47 	 45 	 44 	 43 	 41 	 39 	 38 	 37 	 35 	 33 	 33 	 30 	 29 	 28 	 27 	 24 	 23 	 23 	 20 	 18 	 18 	 16 	 15 	 13 	 11 	 11 	 8 	 8 	 5 	 5 	 3 	 1
50 	 48 	 47 	 45 	 44 	 43 	 40 	 40 	 39 	 36 	 35 	 34 	 32 	 31 	 29 	 28 	 26 	 25 	 23 	 22 	 20 	 20 	 17 	 16 	 15 	 12 	 12 	 10 	 9 	 7 	 6 	 4 	 3 	 2
50 	 48 	 47 	 45 	 44 	 42 	 42 	 39 	 38 	 37 	 34 	 34 	 32 	 31 	 29 	 28 	 26 	 25 	 24 	 22 	 20 	 19 	 18 	 15 	 15 	 13 	 12 	 10 	 9 	 7 	 6 	 4 	 3 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 40 	 38 	 36 	 36 	 34 	 32 	 30 	 29 	 28 	 26 	 25 	 24 	 21 	 21 	 19 	 17 	 17 	 14 	 13 	 11 	 11 	 8 	 7 	 6 	 5 	 3 	 1
49 	 49 	 47 	 45 	 44 	 42 	 41 	 40 	 38 	 36 	 36 	 34 	 32 	 30 	 29 	 28 	 26 	 25 	 24 	 21 	 21 	 19 	 17 	 17 	 14 	 13 	 11 	 11 	 8 	 7 	 6 	 5 	 3 	 1
49 	 49 	 46 	 46 	 44 	 42 	 41 	 40 	 38 	 36 	 35 	 34 	 32 	 31 	 29 	 28 	 26 	 25 	 24 	 21 	 21 	 19 	 17 	 16 	 15 	 13 	 12 	 10 	 9 	 7 	 6 	 4 	 2 	 2
49 	 49 	 46 	 46 	 44 	 42 	 41 	 40 	 37 	 37 	 35 	 34 	 32 	 31 	 29 	 28 	 26 	 25 	 24 	 21 	 21 	 19 	 17 	 16 	 15 	 13 	 12 	 10 	 9 	 7 	 6 	 4 	 2 	 2
