47 	 39 	 36 	 33 	 28 	 22 	 19 	 15 	 14 	 10 	 10 	 7 	 5 	 4 	 1
47 	 39 	 36 	 33 	 28 	 22 	 18 	 17 	 12 	 12 	 9 	 7 	 5 	 4 	 1
47 	 39 	 36 	 33 	 28 	 22 	 18 	 17 	 12 	 12 	 9 	 7 	 5 	 4 	 1
47 	 39 	 35 	 35 	 24 	 24 	 21 	 15 	 12 	 12 	 8 	 8 	 6 	 3 	 1
46 	 40 	 35 	 34 	 27 	 23 	 18 	 16 	 14 	 10 	 10 	 7 	 5 	 4
46 	 40 	 35 	 34 	 27 	 23 	 18 	 16 	 13 	 12 	 8 	 8 	 6 	 3 	 1
45 	 40 	 38 	 31 	 30 	 21 	 18 	 16 	 13 	 12 	 8 	 8 	 6 	 3 	 1
44 	 41 	 37 	 32 	 28 	 23 	 18 	 16 	 13 	 11 	 10 	 7 	 5 	 3 	 2
44 	 41 	 37 	 31 	 30 	 22 	 18 	 16 	 13 	 11 	 10 	 7 	 5 	 3 	 2
44 	 41 	 37 	 31 	 30 	 21 	 19 	 16 	 13 	 11 	 10 	 6 	 6 	 3 	 2
44 	 41 	 37 	 31 	 30 	 21 	 19 	 16 	 13 	 11 	 10 	 6 	 6 	 3 	 2
44 	 40 	 38 	 33 	 26 	 23 	 21 	 14 	 14 	 11 	 9 	 7 	 6 	 2 	 2
44 	 40 	 38 	 33 	 25 	 24 	 20 	 15 	 14 	 11 	 9 	 7 	 6 	 2 	 2
44 	 40 	 38 	 32 	 30 	 21 	 17 	 17 	 13 	 11 	 9 	 8 	 5 	 3 	 2
44 	 40 	 38 	 32 	 29 	 21 	 19 	 15 	 14 	 11 	 9 	 8 	 5 	 3 	 2
43 	 42 	 36 	 34 	 25 	 24 	 20 	 15 	 14 	 10 	 10 	 7 	 5 	 4 	 1
43 	 42 	 36 	 34 	 25 	 24 	 19 	 17 	 12 	 12 	 9 	 7 	 5 	 4 	 1
43 	 42 	 36 	 33 	 28 	 23 	 17 	 17 	 13 	 11 	 9 	 8 	 4 	 4 	 1
43 	 41 	 38 	 32 	 28 	 22 	 19 	 15 	 14 	 11 	 9 	 8 	 4 	 4 	 1
