50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 36 	 34 	 32 	 30 	 28 	 25 	 24 	 21 	 21 	 17 	 14 	 13 	 9 	 8 	 3 	 3
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 35 	 35 	 34 	 28 	 28 	 25 	 24 	 22 	 19 	 18 	 15 	 13 	 8 	 8 	 4 	 2
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 35 	 35 	 33 	 29 	 28 	 25 	 24 	 22 	 19 	 18 	 15 	 13 	 8 	 8 	 4 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 38 	 35 	 35 	 33 	 29 	 28 	 25 	 24 	 22 	 19 	 18 	 15 	 12 	 10 	 8 	 3 	 2
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 32 	 30 	 28 	 25 	 23 	 23 	 19 	 17 	 16 	 11 	 11 	 6 	 5 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 32 	 30 	 28 	 25 	 23 	 23 	 19 	 17 	 16 	 11 	 11 	 6 	 5 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 37 	 34 	 32 	 30 	 27 	 26 	 23 	 22 	 20 	 18 	 14 	 13 	 9 	 8 	 3 	 2
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 36 	 35 	 32 	 30 	 27 	 26 	 23 	 22 	 20 	 17 	 16 	 12 	 10 	 7 	 4 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 36 	 35 	 32 	 30 	 27 	 26 	 23 	 22 	 20 	 17 	 16 	 11 	 11 	 7 	 4 	 1
50 	 48 	 47 	 45 	 44 	 42 	 41 	 39 	 37 	 36 	 35 	 31 	 31 	 28 	 25 	 23 	 22 	 19 	 19 	 14 	 13 	 9 	 8 	 3 	 2
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 35 	 31 	 31 	 27 	 25 	 24 	 21 	 21 	 17 	 15 	 12 	 10 	 7 	 4 	 2
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 34 	 33 	 29 	 28 	 25 	 24 	 22 	 19 	 18 	 15 	 12 	 10 	 7 	 4 	 2
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 34 	 33 	 29 	 28 	 25 	 24 	 21 	 21 	 17 	 14 	 13 	 10 	 7 	 4 	 1
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 34 	 32 	 31 	 26 	 26 	 24 	 21 	 21 	 17 	 14 	 13 	 10 	 7 	 4 	 1
49 	 49 	 46 	 46 	 43 	 43 	 40 	 40 	 38 	 36 	 34 	 32 	 31 	 26 	 26 	 24 	 21 	 21 	 17 	 14 	 13 	 10 	 6 	 6 	 1
