50 	 45 	 44 	 39 	 37 	 34 	 31 	 28 	 24 	 23 	 19 	 17 	 15 	 12 	 10 	 8 	 5 	 4 	 1
50 	 45 	 44 	 39 	 37 	 34 	 31 	 28 	 24 	 23 	 19 	 17 	 14 	 13 	 10 	 7 	 6 	 4 	 1
50 	 45 	 44 	 39 	 37 	 34 	 31 	 27 	 26 	 21 	 21 	 16 	 14 	 13 	 10 	 7 	 6 	 3 	 2
50 	 45 	 44 	 39 	 37 	 34 	 30 	 29 	 24 	 23 	 18 	 18 	 14 	 13 	 9 	 9 	 5 	 3 	 2
50 	 45 	 43 	 40 	 37 	 33 	 32 	 27 	 25 	 22 	 20 	 16 	 16 	 11 	 11 	 7 	 6 	 3 	 2
49 	 46 	 43 	 40 	 36 	 35 	 30 	 29 	 24 	 23 	 18 	 18 	 14 	 13 	 9 	 9 	 5 	 3 	 2
49 	 46 	 43 	 40 	 36 	 35 	 30 	 29 	 23 	 23 	 20 	 16 	 15 	 12 	 11 	 7 	 6 	 3 	 2
49 	 46 	 43 	 40 	 36 	 35 	 30 	 28 	 26 	 21 	 20 	 17 	 14 	 13 	 9 	 9 	 5 	 3 	 2
49 	 46 	 43 	 39 	 39 	 33 	 30 	 28 	 26 	 21 	 20 	 17 	 14 	 13 	 9 	 8 	 6 	 3 	 1
49 	 46 	 42 	 42 	 35 	 35 	 29 	 29 	 26 	 21 	 20 	 17 	 14 	 13 	 9 	 8 	 6 	 3 	 1
49 	 45 	 44 	 39 	 38 	 33 	 32 	 27 	 25 	 22 	 19 	 18 	 14 	 12 	 11 	 7 	 6 	 3 	 1
49 	 45 	 44 	 39 	 38 	 33 	 32 	 27 	 25 	 22 	 19 	 18 	 14 	 12 	 11 	 6 	 6 	 5
48 	 47 	 42 	 41 	 36 	 35 	 29 	 29 	 26 	 21 	 20 	 16 	 16 	 12 	 9 	 9 	 5 	 4 	 1
48 	 47 	 42 	 41 	 36 	 34 	 32 	 27 	 25 	 22 	 19 	 17 	 15 	 12 	 10 	 8 	 6 	 2 	 2
48 	 47 	 42 	 40 	 38 	 33 	 32 	 26 	 26 	 22 	 20 	 16 	 16 	 11 	 11 	 8 	 5 	 4 	 1
48 	 47 	 42 	 40 	 38 	 33 	 31 	 28 	 24 	 23 	 19 	 17 	 15 	 12 	 10 	 8 	 5 	 4 	 1
48 	 47 	 42 	 40 	 38 	 33 	 31 	 28 	 24 	 23 	 19 	 17 	 15 	 12 	 10 	 8 	 5 	 4 	 1
