46 	 36 	 32 	 27 	 27 	 22 	 21 	 14 	 14 	 9 	 8 	 5 	 5 	 3 	 1
46 	 35 	 32 	 27 	 27 	 23 	 19 	 17 	 12 	 10 	 8 	 5 	 5 	 2 	 2
44 	 36 	 32 	 31 	 25 	 23 	 19 	 17 	 12 	 9 	 8 	 6 	 4 	 3 	 1
43 	 36 	 33 	 30 	 25 	 24 	 19 	 16 	 14 	 9 	 7 	 6 	 4 	 3 	 1
43 	 36 	 33 	 29 	 26 	 24 	 18 	 18 	 11 	 11 	 7 	 6 	 4 	 3 	 1
42 	 37 	 33 	 29 	 26 	 23 	 22 	 14 	 13 	 9 	 8 	 6 	 4 	 3 	 1
40 	 38 	 34 	 29 	 25 	 25 	 18 	 17 	 13 	 9 	 8 	 6 	 4 	 3 	 1
40 	 38 	 34 	 29 	 25 	 24 	 21 	 16 	 11 	 10 	 8 	 5 	 5 	 2 	 2
40 	 37 	 34 	 31 	 25 	 23 	 21 	 16 	 11 	 10 	 7 	 7 	 4 	 2 	 2
38 	 38 	 35 	 31 	 25 	 23 	 21 	 15 	 12 	 10 	 7 	 7 	 4 	 2 	 1 	 1
