50 	 45 	 43 	 39 	 35 	 33 	 30 	 28 	 26 	 23 	 20 	 18 	 15 	 12 	 10 	 6 	 4
50 	 45 	 43 	 39 	 35 	 33 	 30 	 28 	 26 	 23 	 20 	 18 	 15 	 11 	 11 	 8 	 1
50 	 44 	 44 	 38 	 37 	 32 	 30 	 28 	 26 	 23 	 20 	 18 	 15 	 11 	 11 	 7 	 3
49 	 46 	 43 	 38 	 37 	 31 	 31 	 28 	 26 	 23 	 20 	 18 	 15 	 11 	 10 	 8 	 1 	 1
49 	 46 	 43 	 38 	 36 	 33 	 30 	 27 	 27 	 23 	 20 	 18 	 14 	 14 	 10 	 5 	 4
49 	 46 	 43 	 38 	 36 	 33 	 30 	 27 	 27 	 22 	 21 	 18 	 14 	 14 	 9 	 7 	 2
48 	 48 	 40 	 40 	 36 	 33 	 29 	 29 	 26 	 22 	 21 	 17 	 16 	 13 	 9 	 7 	 2
48 	 47 	 42 	 40 	 35 	 33 	 29 	 29 	 25 	 25 	 19 	 17 	 16 	 13 	 8 	 8 	 1
48 	 47 	 42 	 40 	 34 	 33 	 31 	 27 	 26 	 25 	 19 	 17 	 16 	 13 	 8 	 8 	 1
48 	 47 	 42 	 39 	 36 	 33 	 29 	 29 	 25 	 24 	 20 	 17 	 15 	 13 	 10 	 6 	 4
48 	 47 	 42 	 39 	 36 	 32 	 31 	 27 	 26 	 23 	 22 	 17 	 15 	 13 	 8 	 8 	 1
48 	 47 	 42 	 39 	 36 	 32 	 31 	 27 	 26 	 23 	 21 	 19 	 14 	 13 	 10 	 6 	 2
