50 	 45 	 44 	 40 	 38 	 33 	 33 	 27 	 27 	 22 	 21 	 16 	 15 	 10 	 9 	 6 	 2
50 	 45 	 44 	 40 	 38 	 33 	 32 	 29 	 25 	 24 	 19 	 18 	 13 	 12 	 8 	 5 	 3
50 	 45 	 44 	 40 	 37 	 36 	 30 	 30 	 25 	 22 	 21 	 17 	 14 	 12 	 7 	 6 	 2
50 	 45 	 44 	 40 	 37 	 35 	 31 	 30 	 25 	 22 	 21 	 17 	 14 	 12 	 7 	 6 	 2
50 	 45 	 44 	 39 	 39 	 33 	 32 	 28 	 27 	 22 	 21 	 16 	 15 	 11 	 9 	 5 	 3
50 	 45 	 44 	 39 	 39 	 33 	 32 	 28 	 27 	 22 	 21 	 16 	 15 	 11 	 9 	 5 	 3
49 	 47 	 42 	 40 	 38 	 34 	 32 	 28 	 27 	 22 	 20 	 17 	 15 	 10 	 9 	 5 	 3
49 	 47 	 42 	 40 	 38 	 34 	 32 	 28 	 26 	 24 	 19 	 18 	 13 	 12 	 8 	 5 	 3
49 	 47 	 42 	 40 	 38 	 34 	 32 	 28 	 26 	 24 	 19 	 18 	 13 	 12 	 8 	 5 	 3
49 	 46 	 44 	 39 	 38 	 35 	 31 	 30 	 24 	 24 	 20 	 16 	 15 	 11 	 9 	 5 	 2
49 	 46 	 43 	 42 	 36 	 35 	 31 	 29 	 26 	 23 	 20 	 16 	 15 	 11 	 9 	 4 	 4
49 	 46 	 43 	 41 	 37 	 35 	 31 	 29 	 26 	 23 	 20 	 16 	 15 	 11 	 9 	 4 	 4
49 	 46 	 43 	 41 	 37 	 35 	 31 	 29 	 26 	 23 	 20 	 16 	 15 	 11 	 8 	 6 	 2
49 	 45 	 45 	 39 	 38 	 35 	 31 	 29 	 26 	 23 	 19 	 18 	 14 	 11 	 8 	 6 	 2
48 	 47 	 43 	 41 	 37 	 34 	 33 	 28 	 25 	 24 	 19 	 18 	 13 	 12 	 8 	 5 	 3
48 	 47 	 43 	 41 	 37 	 34 	 33 	 28 	 25 	 23 	 20 	 17 	 14 	 12 	 7 	 7 	 1 	 1
48 	 47 	 43 	 41 	 36 	 36 	 31 	 29 	 26 	 23 	 19 	 18 	 14 	 10 	 10 	 4 	 4
48 	 47 	 43 	 40 	 38 	 34 	 33 	 27 	 27 	 22 	 21 	 16 	 15 	 10 	 9 	 6 	 2
48 	 47 	 42 	 42 	 36 	 36 	 31 	 29 	 26 	 23 	 19 	 18 	 14 	 10 	 9 	 6 	 2
48 	 47 	 42 	 42 	 36 	 36 	 31 	 29 	 25 	 24 	 19 	 18 	 13 	 13 	 7 	 6 	 1 	 1
