50 	 42 	 38 	 34 	 34 	 28 	 24 	 17 	 16 	 8 	 6
50 	 41 	 39 	 36 	 32 	 28 	 24 	 17 	 16 	 8 	 6
50 	 41 	 39 	 36 	 32 	 28 	 23 	 19 	 13 	 12 	 1 	 1
50 	 41 	 39 	 36 	 32 	 28 	 23 	 19 	 13 	 12 	 1
50 	 41 	 39 	 36 	 32 	 28 	 22 	 19 	 16 	 7 	 7
50 	 41 	 39 	 36 	 32 	 28 	 21 	 20 	 15 	 10 	 4
49 	 42 	 39 	 34 	 34 	 28 	 21 	 20 	 15 	 10 	 4
49 	 42 	 39 	 34 	 34 	 27 	 25 	 17 	 15 	 10 	 4
49 	 42 	 38 	 37 	 31 	 29 	 21 	 20 	 15 	 10 	 4
49 	 42 	 38 	 37 	 31 	 28 	 25 	 17 	 15 	 10 	 4
49 	 42 	 38 	 36 	 33 	 26 	 26 	 17 	 14 	 11 	 6
48 	 43 	 39 	 36 	 32 	 27 	 25 	 16 	 16 	 9 	 6
48 	 42 	 40 	 35 	 34 	 26 	 25 	 18 	 14 	 10 	 6
48 	 42 	 40 	 35 	 33 	 27 	 24 	 19 	 13 	 11 	 6
47 	 43 	 40 	 35 	 33 	 27 	 24 	 19 	 13 	 11 	 5
46 	 43 	 40 	 37 	 32 	 27 	 24 	 18 	 14 	 11 	 5
45 	 43 	 41 	 37 	 31 	 30 	 21 	 20 	 13 	 12 	 3
45 	 43 	 40 	 38 	 31 	 30 	 21 	 19 	 16 	 9 	 5
44 	 44 	 40 	 38 	 31 	 30 	 21 	 19 	 16 	 9 	 5
44 	 44 	 40 	 38 	 31 	 29 	 24 	 17 	 16 	 9 	 5
44 	 43 	 41 	 37 	 33 	 27 	 24 	 18 	 14 	 10 	 6
44 	 43 	 41 	 37 	 33 	 26 	 26 	 17 	 16 	 8 	 7
